               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.020112,            0.059251,            0.005467,             0.94906,             0.90948,             0.95216,             0.80055,            0.015096,            0.049192,           0.0050403,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020305,            0.059225,            0.005542,             0.94499,              0.9017,             0.94795,             0.80092,             0.01496,            0.049892,            0.005284,            0.006436,            0.006436,            0.006436
                  74,            0.020127,            0.058829,            0.005467,              0.9402,             0.91599,             0.95408,             0.80596,            0.014773,              0.0489,           0.0050453,           0.0063865,           0.0063865,           0.0063865
                  75,            0.019696,            0.057682,           0.0054276,             0.95306,             0.90151,             0.95253,             0.80751,            0.014755,            0.048382,           0.0049659,            0.006337,            0.006337,            0.006337
                  76,            0.019919,            0.057847,           0.0054023,             0.94184,             0.91067,             0.95079,             0.79448,            0.014677,            0.048415,            0.005101,           0.0062875,           0.0062875,           0.0062875
                  77,            0.019865,            0.058254,            0.005285,             0.94888,             0.91387,             0.95577,             0.81048,            0.014606,            0.048706,           0.0049868,            0.006238,            0.006238,            0.006238
                  78,            0.019716,            0.057569,           0.0052639,             0.94402,             0.90661,             0.95381,             0.81165,            0.014417,            0.047941,             0.00497,           0.0061885,           0.0061885,           0.0061885
                  79,            0.019799,            0.057487,           0.0053442,              0.9455,              0.9134,             0.95089,             0.80815,            0.014366,            0.048178,           0.0048671,            0.006139,            0.006139,            0.006139
                  80,            0.019656,            0.057699,           0.0051735,             0.94286,               0.919,             0.95468,             0.81527,            0.014519,            0.048913,           0.0048753,           0.0060895,           0.0060895,           0.0060895
                  81,            0.019445,            0.057232,           0.0051537,             0.94744,             0.90714,             0.95264,             0.81601,            0.014313,            0.047266,           0.0048433,             0.00604,             0.00604,             0.00604
                  82,            0.019377,             0.05758,           0.0051853,             0.94983,             0.90906,             0.95173,             0.80334,            0.014179,            0.047886,           0.0048309,           0.0059905,           0.0059905,           0.0059905
                  83,            0.019248,            0.058117,           0.0050706,              0.9479,             0.92058,             0.95896,             0.81069,            0.014222,            0.047507,           0.0048947,            0.005941,            0.005941,            0.005941
                  84,            0.019111,            0.056518,           0.0050073,             0.94538,             0.92297,             0.95788,             0.82153,            0.014191,            0.047785,           0.0048451,           0.0058915,           0.0058915,           0.0058915
                  85,            0.019146,             0.05634,           0.0051142,             0.95555,             0.90803,             0.95836,             0.81851,            0.014179,             0.04713,           0.0047842,            0.005842,            0.005842,            0.005842
                  86,             0.01908,            0.056841,           0.0050393,             0.94967,             0.91994,             0.96088,             0.82209,            0.014308,            0.047168,           0.0047163,           0.0057925,           0.0057925,           0.0057925
                  87,            0.019094,            0.057308,           0.0048468,             0.95826,             0.91337,              0.9589,              0.8257,             0.01409,            0.047921,            0.004905,            0.005743,            0.005743,            0.005743
                  88,            0.018595,            0.055547,           0.0050629,             0.94879,             0.92523,             0.95953,             0.82477,             0.01391,            0.047436,           0.0048032,           0.0056935,           0.0056935,           0.0056935
                  89,            0.018855,            0.056345,            0.004878,             0.95571,             0.91365,             0.95744,             0.82434,            0.014044,            0.046625,           0.0048295,            0.005644,            0.005644,            0.005644
                  90,            0.018737,            0.056114,           0.0048654,             0.95029,             0.91772,             0.96018,             0.82775,            0.013947,            0.046658,           0.0049054,           0.0055945,           0.0055945,           0.0055945
                  91,            0.018616,            0.055278,           0.0048854,             0.94778,             0.92106,             0.95509,             0.82229,            0.013888,             0.04698,           0.0048846,            0.005545,            0.005545,            0.005545
                  92,            0.018454,            0.056071,           0.0047128,             0.94569,             0.93213,             0.95808,             0.82731,            0.013697,            0.046208,           0.0048451,           0.0054955,           0.0054955,           0.0054955
                  93,            0.018582,            0.055919,           0.0049162,             0.94206,             0.91777,             0.95449,             0.82117,            0.013838,            0.047164,           0.0048455,            0.005446,            0.005446,            0.005446
                  94,             0.01853,            0.055856,           0.0047999,             0.95257,             0.91416,             0.95795,             0.82638,            0.013815,            0.045882,           0.0048253,           0.0053965,           0.0053965,           0.0053965
                  95,            0.018365,            0.056264,           0.0048348,             0.95062,              0.9212,             0.95744,             0.82225,            0.013818,            0.046626,           0.0048569,            0.005347,            0.005347,            0.005347
                  96,            0.018244,             0.05445,           0.0048572,             0.94578,             0.92049,             0.95895,             0.82628,            0.013681,             0.04559,           0.0049393,           0.0052975,           0.0052975,           0.0052975
                  97,            0.018224,            0.054551,           0.0048548,             0.94724,             0.91025,             0.95813,             0.82452,            0.013675,            0.046631,           0.0048632,            0.005248,            0.005248,            0.005248
